"date","value"
2021-01-28 13:16:04,1920
2021-01-28 13:15:53,1980
2021-01-28 13:14:10,1980
2021-01-28 13:13:59,1920
2021-01-28 13:10:10,1920
2021-01-28 13:10:00,1980
2021-01-28 13:08:05,1980
2021-01-28 13:07:55,1920
2021-01-28 13:05:09,1920
2021-01-28 13:00:07,1920
2021-01-28 12:59:57,1860
2021-01-28 12:59:05,1860
2021-01-28 12:54:04,1860
2021-01-28 12:53:53,1980
2021-01-28 12:50:05,1980
2021-01-28 12:49:54,2040
2021-01-28 12:46:05,2040
2021-01-28 12:45:55,2100
2021-01-28 12:44:01,2100
2021-01-28 12:43:51,1980
2021-01-28 12:42:07,1980
2021-01-28 12:41:56,2040
2021-01-28 12:41:04,2040
2021-01-28 12:36:03,2040
2021-01-28 12:35:52,1980
2021-01-28 12:34:08,1980
2021-01-28 12:33:58,2040
2021-01-28 12:33:06,2040
2021-01-28 12:28:05,2040
2021-01-28 12:27:54,2100
2021-01-28 12:26:10,2100
2021-01-28 12:26:00,2040
2021-01-28 12:21:09,2040
2021-01-28 12:16:08,2040
2021-01-28 12:15:57,2100
2021-01-28 12:15:05,2100
2021-01-28 12:10:03,2100
2021-01-28 12:09:53,2160
2021-01-28 12:08:09,2160
2021-01-28 12:07:59,2220
2021-01-28 12:04:00,2220
2021-01-28 12:03:50,2160
2021-01-28 12:02:06,2160
2021-01-28 12:01:56,2100
2021-01-28 12:00:01,2100
2021-01-28 11:59:50,2040
2021-01-28 11:55:10,2040
2021-01-28 11:50:08,2040
2021-01-28 11:49:57,2100
2021-01-28 11:48:03,2100
2021-01-28 11:47:53,2040
2021-01-28 11:44:04,2040
2021-01-28 11:43:54,2100
2021-01-28 11:42:10,2100
2021-01-28 11:41:59,2220
2021-01-28 11:40:05,2220
2021-01-28 11:39:54,2100
2021-01-28 11:36:06,2100
2021-01-28 11:35:55,2160
2021-01-28 11:34:01,2160
2021-01-28 11:33:51,2100
2021-01-28 11:32:07,2100
2021-01-28 11:31:56,2040
2021-01-28 11:30:02,2040
2021-01-28 11:29:52,2100
2021-01-28 11:26:03,2100
2021-01-28 11:25:52,2040
2021-01-28 11:24:08,2040
2021-01-28 11:23:58,2100
2021-01-28 11:22:04,2100
2021-01-28 11:21:53,2040
2021-01-28 11:17:02,2040
2021-01-28 11:12:01,2040
2021-01-28 11:11:50,2160
2021-01-28 11:11:08,2160
2021-01-28 11:06:07,2160
2021-01-28 11:05:57,2220
2021-01-28 11:04:02,2220
2021-01-28 11:03:52,2280
2021-01-28 11:02:08,2280
2021-01-28 11:01:58,2220
2021-01-28 10:58:09,2220
2021-01-28 10:57:59,2280
2021-01-28 10:56:01,2280
2021-01-28 10:55:51,2220
2021-01-28 10:55:09,2220
2021-01-28 10:50:08,2220
2021-01-28 10:49:57,2280
2021-01-28 10:48:03,2280
2021-01-28 10:47:53,2220
2021-01-28 10:46:08,2220
2021-01-28 10:45:58,2280
2021-01-28 10:44:03,2280
2021-01-28 10:43:53,2220
2021-01-28 10:42:09,2220
2021-01-28 10:41:59,2340
2021-01-28 10:38:00,2340
2021-01-28 10:37:50,2400
2021-01-28 10:36:06,2400
2021-01-28 10:35:55,2460
2021-01-28 10:34:01,2460
2021-01-28 10:33:50,2520
2021-01-28 10:30:02,2520
2021-01-28 10:29:52,2580
2021-01-28 10:28:08,2580
2021-01-28 10:27:57,2640
